Activity_Code,Activity_Name,Category,Typical_Duration_Hours,Base_Cost_USD,Equipment_Primary,Personnel_Primary,Personnel_Count,Consumables_Typical,Risk_Factor,NPT_Risk_Percent
ACT-001,Slickline Gauge Run,Surveillance,4,8500,EQ-001,PERS-004;PERS-006,3,None,Low,2
ACT-002,Slickline Plug Setting,Barriers,6,12000,EQ-001,PERS-004;PERS-006,3,TOOL-019,Low,3
ACT-003,E-line Perforating,Completions,8,45000,EQ-002,PERS-004;PERS-006,3,TOOL-015,Medium,5
ACT-004,E-line Logging,Evaluation,12,28000,EQ-002,PERS-004;PERS-006;PERS-032,4,None,Low,2
ACT-005,CT Scale Cleanout,Remediation,24,85000,EQ-003,PERS-005;PERS-007,4,TOOL-003,Medium,8
ACT-006,CT Wax Cleanout,Remediation,18,65000,EQ-003,PERS-005;PERS-007,4,TOOL-005,Medium,6
ACT-007,CT Acid Stimulation,Stimulation,36,125000,EQ-003;EQ-006,PERS-005;PERS-007;PERS-008,6,TOOL-004;CONSUMABLE-001,High,12
ACT-008,Expandable Patch 7in,Casing Repair,48,145000,EQ-009,PERS-003;PERS-015;PERS-016,6,TOOL-001,High,15
ACT-009,Expandable Patch 9in,Casing Repair,60,185000,EQ-009,PERS-003;PERS-015;PERS-016,6,TOOL-002,High,18
ACT-010,TRSSV Replacement,Barriers,16,65000,EQ-001,PERS-003;PERS-006,3,TOOL-006,Medium,7
ACT-011,SSSV Replacement,Barriers,20,75000,EQ-001,PERS-003;PERS-006,3,TOOL-007,Medium,8
ACT-012,Cement Squeeze,Barriers,24,95000,EQ-005,PERS-008;PERS-009,4,CONSUMABLE-004;TOOL-020,Medium,10
ACT-013,Sand Screen Install,Completions,32,125000,EQ-009,PERS-003;PERS-015;PERS-016,6,TOOL-013,High,14
ACT-014,Tubing Fishing,Fishing,36,95000,EQ-001;EQ-009,PERS-004;PERS-015;PERS-016,5,TOOL-008;TOOL-009,High,20
ACT-015,Junk Milling,Remediation,28,75000,EQ-003,PERS-005;PERS-007,4,TOOL-010,Medium,12
ACT-016,Section Milling,Remediation,48,125000,EQ-003,PERS-005;PERS-007,4,TOOL-011,High,18
ACT-017,Well Testing,Production,72,185000,EQ-008,PERS-011;PERS-012,4,CONSUMABLE-001,Medium,8
ACT-018,Snubbing - Live Well,Intervention,96,425000,EQ-007,PERS-013;PERS-014;PERS-035,6,CONSUMABLE-002,Very High,25
ACT-019,Production Packer Setting,Completions,12,45000,EQ-001,PERS-003;PERS-006,3,TOOL-017,Medium,6
ACT-020,Bridge Plug Setting,Barriers,8,22000,EQ-001,PERS-004;PERS-006,3,TOOL-019,Low,4
ACT-021,Kill Well Procedure,Well Control,16,85000,EQ-005,PERS-001;PERS-008;PERS-035,5,CONSUMABLE-002,High,15
ACT-022,Perforation - Casing,Completions,10,55000,EQ-002,PERS-003;PERS-006,3,TOOL-016,Medium,8
ACT-023,Tubing Cut & Pull,Workover,24,65000,EQ-009,PERS-015;PERS-016,5,TOOL-012,Medium,10
ACT-024,Gravel Pack,Completions,48,165000,EQ-009,PERS-003;PERS-015;PERS-016,6,TOOL-014;CONSUMABLE-001,High,16
ACT-025,Corrosion Inspection,Integrity,16,35000,EQ-001,PERS-028;PERS-029,3,None,Low,3
ACT-026,Subsea BOP Test,Well Control,12,45000,EQ-012,PERS-001;PERS-034,3,None,Medium,5
ACT-027,Completion Fluid Displacement,Completions,20,55000,EQ-005,PERS-008;PERS-009,4,CONSUMABLE-001,Medium,7
ACT-028,Cement Bond Log,Evaluation,10,28000,EQ-002,PERS-004;PERS-032,3,None,Low,3
ACT-029,IWOCS Operations,Subsea,24,95000,EQ-011,PERS-034;PERS-015,4,None,Medium,9
ACT-030,Rigless P&A,Abandonment,120,485000,EQ-009,PERS-001;PERS-015;PERS-016,8,CONSUMABLE-004,Very High,22
